<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
FXDE	D	20131031	000000	1016.6000000	1016.6000000	1014.3000000	1014.3000000	33
FXDE	D	20131105	000000	1014.7000000	1014.7000000	1014.7000000	1014.7000000	1
FXDE	D	20131106	000000	1019.5000000	1019.5000000	1019.5000000	1019.5000000	1
FXDE	D	20131111	000000	1019.0000000	1019.0000000	1019.0000000	1019.0000000	2
FXDE	D	20131113	000000	1029.2000000	1029.2000000	1029.2000000	1029.2000000	2
FXDE	D	20131115	000000	1038.3000000	1038.3000000	1038.3000000	1038.3000000	1
FXDE	D	20131118	000000	1045.7000000	1048.0000000	1045.7000000	1048.0000000	8
FXDE	D	20131119	000000	1050.0000000	1050.0000000	1050.0000000	1050.0000000	3
FXDE	D	20131121	000000	1052.4000000	1053.0000000	1052.4000000	1053.0000000	20
FXDE	D	20131122	000000	1051.1000000	1051.1000000	1051.1000000	1051.1000000	1
FXDE	D	20131125	000000	1063.8000000	1067.6000000	1063.8000000	1067.6000000	2
FXDE	D	20131127	000000	1079.1000000	1079.1000000	1079.1000000	1079.1000000	6
FXDE	D	20131128	000000	1088.3000000	1088.3000000	1088.3000000	1088.3000000	11
FXDE	D	20131202	000000	1091.3000000	1091.3000000	1088.8000000	1088.8000000	10
FXDE	D	20131203	000000	1085.8000000	1085.8000000	1085.8000000	1085.8000000	3
FXDE	D	20131209	000000	1068.8000000	1068.8000000	1068.8000000	1068.8000000	5
FXDE	D	20131216	000000	1067.7000000	1067.7000000	1055.1000000	1055.1000000	21
FXDE	D	20131219	000000	1078.5000000	1078.9000000	1078.5000000	1078.9000000	20
FXDE	D	20131230	000000	1116.8000000	1116.8000000	1116.8000000	1116.8000000	1
FXDE	D	20140108	000000	1107.3000000	1107.3000000	1107.3000000	1107.3000000	3
FXDE	D	20140110	000000	1099.4000000	1105.0000000	1099.4000000	1105.0000000	4
FXDE	D	20140120	000000	1136.0000000	1142.0000000	1136.0000000	1142.0000000	32
FXDE	D	20140121	000000	1155.1000000	1155.1000000	1155.1000000	1155.1000000	1
FXDE	D	20140122	000000	1152.8000000	1152.8000000	1152.8000000	1152.8000000	1
FXDE	D	20140123	000000	1158.0000000	1158.0000000	1152.8000000	1152.8000000	7
FXDE	D	20140127	000000	1141.1000000	1141.1000000	1136.0000000	1136.0000000	4
FXDE	D	20140128	000000	1137.0000000	1143.7000000	1137.0000000	1141.5000000	890
FXDE	D	20140206	000000	1113.6000000	1113.6000000	1113.6000000	1113.6000000	1
FXDE	D	20140207	000000	1123.5000000	1129.0000000	1123.5000000	1129.0000000	1553
FXDE	D	20140210	000000	1126.0000000	1140.1000000	1126.0000000	1135.1000000	6
FXDE	D	20140212	000000	1159.0000000	1159.0000000	1158.6000000	1158.6000000	3000
FXDE	D	20140214	000000	1195.0000000	1195.0000000	1191.6000000	1191.6000000	2
FXDE	D	20140217	000000	1193.3000000	1195.6000000	1193.3000000	1195.6000000	21
FXDE	D	20140219	000000	1213.0000000	1216.1000000	1213.0000000	1216.1000000	854
FXDE	D	20140220	000000	1217.0000000	1217.6000000	1203.3000000	1204.1000000	3890
FXDE	D	20140221	000000	1213.0000000	1213.0000000	1210.2000000	1211.0000000	805
FXDE	D	20140224	000000	1209.0000000	1213.2000000	1209.0000000	1209.2000000	808
FXDE	D	20140225	000000	1214.0000000	1214.0000000	1214.0000000	1214.0000000	778
FXDE	D	20140226	000000	1231.0000000	1231.0000000	1226.4000000	1226.7000000	794
FXDE	D	20140227	000000	1227.0000000	1227.0000000	1208.0000000	1208.9000000	840
FXDE	D	20140228	000000	1219.0000000	1220.8000000	1219.0000000	1220.8000000	880
FXDE	D	20140303	000000	1220.2000000	1220.2000000	1220.2000000	1220.2000000	53
