<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
FXGD	D	20131017	000000	296.0000000	302.8700000	295.5000000	302.8700000	3200
FXGD	D	20131018	000000	302.5000000	302.5800000	301.9000000	302.2200000	5060
FXGD	D	20131021	000000	301.8100000	302.7500000	301.6000000	302.4900000	70
FXGD	D	20131022	000000	302.3500000	305.0000000	301.0000000	304.9000000	3600
FXGD	D	20131023	000000	304.3700000	304.3700000	303.7000000	303.7600000	400
FXGD	D	20131024	000000	304.4000000	306.2000000	304.4000000	306.1600000	4490
FXGD	D	20131025	000000	305.7000000	307.4000000	305.5000000	306.8200000	2380
FXGD	D	20131028	000000	307.4000000	310.5000000	307.4000000	310.5000000	4340
FXGD	D	20131029	000000	309.9000000	310.7200000	308.0000000	310.7200000	2330
FXGD	D	20131030	000000	310.1000000	312.0000000	309.5000000	311.8700000	1150
FXGD	D	20131031	000000	308.4100000	308.4100000	304.7400000	304.7400000	820
FXGD	D	20131101	000000	305.7600000	306.6000000	304.0000000	304.0000000	6530
FXGD	D	20131105	000000	304.6000000	306.4000000	304.6000000	305.5600000	410
FXGD	D	20131106	000000	306.1700000	307.4000000	306.1700000	306.2900000	880
FXGD	D	20131107	000000	306.3400000	308.5000000	302.6000000	304.6300000	13230
FXGD	D	20131108	000000	305.2000000	306.5000000	303.2700000	303.2700000	8720
FXGD	D	20131111	000000	302.2500000	302.6000000	301.0000000	301.0000000	11560
FXGD	D	20131112	000000	301.6000000	303.4000000	301.6000000	302.9000000	1660
FXGD	D	20131113	000000	300.9000000	302.0300000	300.1000000	302.0300000	390
FXGD	D	20131114	000000	302.6000000	302.7000000	301.4000000	302.3000000	1490
FXGD	D	20131115	000000	302.8000000	302.8000000	301.4800000	301.4800000	850
FXGD	D	20131118	000000	301.2400000	301.2400000	299.1000000	299.1000000	740
FXGD	D	20131119	000000	299.0000000	300.2000000	298.7900000	300.2000000	220
FXGD	D	20131120	000000	300.0000000	300.8000000	298.0000000	298.0000000	2530
FXGD	D	20131121	000000	296.5800000	297.0800000	294.5500000	295.0000000	10140
FXGD	D	20131122	000000	294.8900000	294.9100000	293.6400000	293.6400000	670
FXGD	D	20131125	000000	292.6600000	294.8000000	290.0000000	294.8000000	10810
FXGD	D	20131126	000000	296.6600000	297.3000000	295.4000000	295.5200000	5610
FXGD	D	20131127	000000	294.9000000	297.8800000	294.9000000	297.8800000	7470
FXGD	D	20131128	000000	295.8900000	296.3200000	295.8900000	296.2200000	600
FXGD	D	20131129	000000	296.6500000	298.2200000	295.8900000	298.2200000	5710
FXGD	D	20131202	000000	297.3900000	297.3900000	294.5300000	295.8500000	11470
FXGD	D	20131203	000000	295.3000000	295.3000000	292.0000000	292.0000000	450
FXGD	D	20131204	000000	290.9600000	293.0000000	290.2000000	293.0000000	3900
FXGD	D	20131205	000000	295.0800000	295.0800000	290.7000000	290.7000000	3880
FXGD	D	20131206	000000	291.3000000	293.0000000	288.4000000	293.0000000	7330
FXGD	D	20131209	000000	292.4000000	292.4000000	290.0000000	290.0000000	410
FXGD	D	20131210	000000	291.9800000	297.5000000	291.9800000	297.0000000	7710
FXGD	D	20131211	000000	296.4000000	296.5000000	295.8000000	296.5000000	190
FXGD	D	20131212	000000	295.9000000	295.9000000	290.6000000	290.6000000	7610
FXGD	D	20131213	000000	290.4000000	291.8000000	289.4000000	291.8000000	210
FXGD	D	20131216	000000	291.4900000	292.4000000	291.4900000	292.4000000	60
FXGD	D	20131217	000000	294.7000000	294.7000000	292.2500000	292.6000000	400
FXGD	D	20131218	000000	292.5700000	292.6200000	292.0000000	292.0000000	670
FXGD	D	20131219	000000	291.4000000	291.4000000	284.8100000	285.5100000	15890
FXGD	D	20131220	000000	284.6000000	284.6000000	283.6700000	284.3000000	1700
FXGD	D	20131223	000000	284.9000000	285.4000000	282.5000000	282.5000000	1410
FXGD	D	20131224	000000	282.0000000	282.5200000	281.0000000	282.5200000	660
FXGD	D	20131225	000000	283.1000000	283.4900000	282.0000000	283.4900000	70
FXGD	D	20131226	000000	283.9900000	284.1000000	283.9900000	284.1000000	3710
FXGD	D	20131227	000000	284.4000000	285.0900000	283.8000000	285.0900000	9580
FXGD	D	20131230	000000	284.5000000	285.1300000	283.9000000	285.1300000	3000
