<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
FXIT	D	20131031	000000	989.0000000	989.0000000	987.3000000	987.3000000	12
FXIT	D	20131107	000000	999.0000000	999.0000000	999.0000000	999.0000000	1
FXIT	D	20131118	000000	1026.6000000	1026.7000000	1025.7000000	1025.9000000	7
FXIT	D	20131121	000000	1031.0000000	1033.0000000	1031.0000000	1033.0000000	15
FXIT	D	20131126	000000	1045.2000000	1045.2000000	1045.2000000	1045.2000000	1
FXIT	D	20131129	000000	1054.7000000	1054.7000000	1054.7000000	1054.7000000	3
FXIT	D	20131202	000000	1058.2000000	1058.2000000	1058.2000000	1058.2000000	7
FXIT	D	20131211	000000	1053.5000000	1053.5000000	1053.5000000	1053.5000000	1
FXIT	D	20131219	000000	1059.7000000	1059.7000000	1059.2000000	1059.2000000	19
FXIT	D	20131223	000000	1075.2000000	1075.2000000	1075.2000000	1075.2000000	100
FXIT	D	20131230	000000	1077.5000000	1077.5000000	1077.5000000	1077.5000000	1
FXIT	D	20140106	000000	1078.3000000	1078.3000000	1078.3000000	1078.3000000	1
FXIT	D	20140108	000000	1083.9000000	1094.0000000	1083.9000000	1094.0000000	16
FXIT	D	20140110	000000	1094.5000000	1094.5000000	1094.5000000	1094.5000000	1
FXIT	D	20140115	000000	1109.8000000	1109.8000000	1109.8000000	1109.8000000	10
FXIT	D	20140116	000000	1120.5000000	1120.5000000	1120.5000000	1120.5000000	3
FXIT	D	20140120	000000	1117.3000000	1117.3000000	1117.3000000	1117.3000000	15
FXIT	D	20140121	000000	1131.9000000	1131.9000000	1131.9000000	1131.9000000	1
FXIT	D	20140123	000000	1139.0000000	1139.0000000	1139.0000000	1139.0000000	1
FXIT	D	20140127	000000	1136.4000000	1136.4000000	1136.4000000	1136.4000000	1
FXIT	D	20140128	000000	1128.6000000	1129.5000000	1125.0000000	1125.9000000	11
FXIT	D	20140206	000000	1114.2000000	1114.2000000	1112.0000000	1112.0000000	5001
FXIT	D	20140207	000000	1125.6000000	1128.0000000	1121.0000000	1127.3000000	16552
FXIT	D	20140210	000000	1140.0000000	1140.0000000	1140.0000000	1140.0000000	1
FXIT	D	20140211	000000	1147.4000000	1147.4000000	1147.4000000	1147.4000000	5
FXIT	D	20140212	000000	1159.5000000	1159.5000000	1157.0000000	1157.0000000	15100
FXIT	D	20140213	000000	1167.0000000	1167.0000000	1167.0000000	1167.0000000	2500
FXIT	D	20140214	000000	1183.9000000	1185.0000000	1183.9000000	1184.0000000	2511
FXIT	D	20140218	000000	1193.9000000	1193.9000000	1191.9000000	1191.9000000	2
FXIT	D	20140219	000000	1202.0000000	1202.8000000	1202.0000000	1202.8000000	830
FXIT	D	20140220	000000	1198.0000000	1199.0000000	1198.0000000	1199.0000000	779
FXIT	D	20140221	000000	1209.0000000	1210.1000000	1208.5000000	1208.5000000	787
FXIT	D	20140224	000000	1193.0000000	1202.7000000	1193.0000000	1202.7000000	789
FXIT	D	20140225	000000	1202.0000000	1202.0000000	1202.0000000	1202.0000000	820
FXIT	D	20140226	000000	1213.0000000	1213.0000000	1213.0000000	1213.0000000	800
FXIT	D	20140227	000000	1220.5000000	1220.5000000	1219.4000000	1219.4000000	808
FXIT	D	20140228	000000	1228.0000000	1231.7000000	1228.0000000	1229.0000000	873
FXIT	D	20140303	000000	1228.3000000	1228.3000000	1228.3000000	1228.3000000	50
FXIT	D	20140304	000000	1228.3000000	1230.5000000	1223.8000000	1230.5000000	830
FXIT	D	20140305	000000	1232.0000000	1237.2000000	1232.0000000	1234.3000000	840
FXIT	D	20140306	000000	1236.0000000	1236.0000000	1236.0000000	1236.0000000	800
FXIT	D	20140307	000000	1242.0000000	1250.7000000	1241.6000000	1250.7000000	805
FXIT	D	20140311	000000	1233.0000000	1233.0000000	1233.0000000	1233.0000000	786
FXIT	D	20140312	000000	1236.0000000	1238.0000000	1235.8000000	1235.8000000	805
