<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
FXMM	D	20140520	000000	1002.5000000	1002.5000000	1002.5000000	1002.5000000	24
FXMM	D	20140522	000000	1002.7000000	1002.7000000	1002.7000000	1002.7000000	1
FXMM	D	20140527	000000	1004.0000000	1004.0000000	1004.0000000	1004.0000000	10
FXMM	D	20140605	000000	1005.8000000	1005.8000000	1005.8000000	1005.8000000	2
FXMM	D	20140606	000000	1006.0000000	1006.0000000	1006.0000000	1006.0000000	1
FXMM	D	20140610	000000	1006.9000000	1006.9000000	1006.9000000	1006.9000000	1
FXMM	D	20140611	000000	1007.0000000	1007.0000000	1007.0000000	1007.0000000	150
FXMM	D	20140618	000000	1008.1000000	1008.1000000	1008.1000000	1008.1000000	2
FXMM	D	20140619	000000	1008.5000000	1008.5000000	1008.5000000	1008.5000000	105
FXMM	D	20140623	000000	1008.7000000	1008.7000000	1008.7000000	1008.7000000	70
FXMM	D	20140624	000000	1009.7000000	1009.7000000	1009.7000000	1009.7000000	7
FXMM	D	20140625	000000	1009.9000000	1009.9000000	1009.9000000	1009.9000000	5
FXMM	D	20140626	000000	1009.6000000	1009.6000000	1009.6000000	1009.6000000	80
FXMM	D	20140630	000000	1010.1000000	1010.1000000	1010.1000000	1010.1000000	100
FXMM	D	20140704	000000	1011.9000000	1011.9000000	1011.9000000	1011.9000000	1
FXMM	D	20140707	000000	1012.9000000	1012.9000000	1012.9000000	1012.9000000	83
FXMM	D	20140708	000000	1013.2000000	1013.2000000	1013.2000000	1013.2000000	122
FXMM	D	20140709	000000	1013.3000000	1013.3000000	1013.3000000	1013.3000000	30
FXMM	D	20140716	000000	1014.6000000	1014.6000000	1014.6000000	1014.6000000	1
FXMM	D	20140717	000000	1015.0000000	1015.0000000	1015.0000000	1015.0000000	154
FXMM	D	20140718	000000	1015.8000000	1015.8000000	1015.5000000	1015.5000000	1762
FXMM	D	20140721	000000	1016.3000000	1016.3000000	1016.3000000	1016.3000000	4
FXMM	D	20140722	000000	1016.2000000	1016.2000000	1016.2000000	1016.2000000	1
